Sample	MappedReadCount
RNA15_P45_M06_WK4_concoct.95	276066
RNA15_P45_M06_WK4_maxbin.10	54966
RNA15_P45_M06_WK4_maxbin.11	285185
RNA15_P45_M06_WK4_maxbin.12_sub	22580
RNA15_P45_M06_WK4_maxbin.15_sub	207815
RNA15_P45_M06_WK4_maxbin.17	279134
RNA15_P45_M06_WK4_maxbin.21	18832
RNA15_P45_M06_WK4_maxbin.41	725319
RNA15_P45_M06_WK4_maxbin.54	24559
RNA15_P45_M06_WK4_metabat2.12	22337
RNA15_P45_M06_WK4_metabat2.16_sub	174264
RNA15_P45_M06_WK4_metabat2.47	23397
RNA15_P45_M06_WK4_metabat2.4_sub	848842
RNA15_P45_M06_WK4_metabat2.65	120052
RNA15_P45_M06_WK4_metabat2.80	106917
RNA15_P45_M06_WK4_metabat2.91	113997
RNA16_P5_M06_WK9_concoct.113	95224
RNA16_P5_M06_WK9_concoct.20	127838
RNA16_P5_M06_WK9_concoct.35	61790
RNA16_P5_M06_WK9_concoct.37_sub	96232
RNA16_P5_M06_WK9_concoct.38	307123
RNA16_P5_M06_WK9_concoct.41	29850
RNA16_P5_M06_WK9_concoct.48_sub	38322
RNA16_P5_M06_WK9_concoct.56	240226
RNA16_P5_M06_WK9_concoct.57	31465
RNA16_P5_M06_WK9_concoct.58	170244
RNA16_P5_M06_WK9_concoct.60	145714
RNA16_P5_M06_WK9_concoct.68	266671
RNA16_P5_M06_WK9_concoct.69	345877
RNA16_P5_M06_WK9_concoct.74	63908
RNA16_P5_M06_WK9_concoct.77_sub	27006
RNA16_P5_M06_WK9_concoct.78	144139
RNA16_P5_M06_WK9_concoct.7	219220
RNA16_P5_M06_WK9_concoct.82_sub	50789
RNA16_P5_M06_WK9_concoct.83	92005
RNA16_P5_M06_WK9_concoct.92_sub	24993
RNA16_P5_M06_WK9_concoct.95	185287
RNA16_P5_M06_WK9_maxbin.10	99059
RNA16_P5_M06_WK9_maxbin.11	252178
RNA16_P5_M06_WK9_maxbin.12_sub	79082
RNA16_P5_M06_WK9_maxbin.15_sub	182868
RNA16_P5_M06_WK9_maxbin.17	367686
RNA16_P5_M06_WK9_maxbin.21	16129
RNA16_P5_M06_WK9_maxbin.41	248254
RNA16_P5_M06_WK9_maxbin.54	15649
RNA16_P5_M06_WK9_metabat2.12	27043
RNA16_P5_M06_WK9_metabat2.16_sub	120657
RNA16_P5_M06_WK9_metabat2.47	14342
