Sample	MappedReadCount
DNA17_P18_M06_WK9_concoct.68_modified_drep_counts	2610556
DNA17_P18_M06_WK9_concoct.69_modified_drep_counts	3010272
DNA17_P18_M06_WK9_concoct.74_modified_drep_counts	305314
DNA17_P18_M06_WK9_concoct.77_sub_modified_drep_counts	43014
DNA17_P18_M06_WK9_concoct.78_modified_drep_counts	891719
DNA17_P18_M06_WK9_concoct.7_modified_drep_counts	1568594
DNA17_P18_M06_WK9_concoct.82_sub_modified_drep_counts	37302
DNA17_P18_M06_WK9_concoct.83_modified_drep_counts	461089
DNA17_P18_M06_WK9_concoct.92_sub_modified_drep_counts	74545
DNA17_P18_M06_WK9_concoct.95_modified_drep_counts	997127
DNA17_P18_M06_WK9_maxbin.10_modified_drep_counts	147916
DNA17_P18_M06_WK9_maxbin.11_modified_drep_counts	1175803
DNA17_P18_M06_WK9_maxbin.12_sub_modified_drep_counts	121572
DNA17_P18_M06_WK9_maxbin.15_sub_modified_drep_counts	1657432
DNA17_P18_M06_WK9_maxbin.17_modified_drep_counts	1724355
DNA17_P18_M06_WK9_maxbin.21_modified_drep_counts	102074
DNA17_P18_M06_WK9_maxbin.41_modified_drep_counts	1153832
DNA17_P18_M06_WK9_maxbin.54_modified_drep_counts	15499
DNA17_P18_M06_WK9_metabat2.12_modified_drep_counts	9214
DNA17_P18_M06_WK9_metabat2.16_sub_modified_drep_counts	680573
DNA17_P18_M06_WK9_metabat2.47_modified_drep_counts	43117
DNA17_P18_M06_WK9_metabat2.4_sub_modified_drep_counts	1374723
DNA17_P18_M06_WK9_metabat2.65_modified_drep_counts	908724
DNA17_P18_M06_WK9_metabat2.80_modified_drep_counts	130859
DNA17_P18_M06_WK9_metabat2.91_modified_drep_counts	1187153
DNA18_P45_M06_WK9_concoct.113_modified_drep_counts	308009
DNA18_P45_M06_WK9_concoct.20_modified_drep_counts	172097
DNA18_P45_M06_WK9_concoct.35_modified_drep_counts	82323
DNA18_P45_M06_WK9_concoct.37_sub_modified_drep_counts	145995
DNA18_P45_M06_WK9_concoct.38_modified_drep_counts	855983
DNA18_P45_M06_WK9_concoct.41_modified_drep_counts	129890
DNA18_P45_M06_WK9_concoct.48_sub_modified_drep_counts	63298
DNA18_P45_M06_WK9_concoct.56_modified_drep_counts	790639
DNA18_P45_M06_WK9_concoct.57_modified_drep_counts	59571
DNA18_P45_M06_WK9_concoct.58_modified_drep_counts	562669
DNA18_P45_M06_WK9_concoct.60_modified_drep_counts	507888
DNA18_P45_M06_WK9_concoct.68_modified_drep_counts	1784714
DNA18_P45_M06_WK9_concoct.69_modified_drep_counts	462900
DNA18_P45_M06_WK9_concoct.74_modified_drep_counts	131425
DNA18_P45_M06_WK9_concoct.77_sub_modified_drep_counts	41507
DNA18_P45_M06_WK9_concoct.78_modified_drep_counts	453911
DNA18_P45_M06_WK9_concoct.7_modified_drep_counts	719725
DNA18_P45_M06_WK9_concoct.82_sub_modified_drep_counts	35043
DNA18_P45_M06_WK9_concoct.83_modified_drep_counts	205249
DNA18_P45_M06_WK9_concoct.92_sub_modified_drep_counts	49494
DNA18_P45_M06_WK9_concoct.95_modified_drep_counts	479253
DNA18_P45_M06_WK9_maxbin.10_modified_drep_counts	118053
DNA18_P45_M06_WK9_maxbin.11_modified_drep_counts	547053
DNA18_P45_M06_WK9_maxbin.12_sub_modified_drep_counts	42925
DNA18_P45_M06_WK9_maxbin.15_sub_modified_drep_counts	688783
DNA18_P45_M06_WK9_maxbin.17_modified_drep_counts	1380659
DNA18_P45_M06_WK9_maxbin.21_modified_drep_counts	104000
DNA18_P45_M06_WK9_maxbin.41_modified_drep_counts	912491
DNA18_P45_M06_WK9_maxbin.54_modified_drep_counts	20685
DNA18_P45_M06_WK9_metabat2.12_modified_drep_counts	2918
DNA18_P45_M06_WK9_metabat2.16_sub_modified_drep_counts	361150
DNA18_P45_M06_WK9_metabat2.47_modified_drep_counts	83266
DNA18_P45_M06_WK9_metabat2.4_sub_modified_drep_counts	1198251
DNA18_P45_M06_WK9_metabat2.65_modified_drep_counts	202231
DNA18_P45_M06_WK9_metabat2.80_modified_drep_counts	200267
DNA18_P45_M06_WK9_metabat2.91_modified_drep_counts	142439
DNA19_P19_M09_WK1_concoct.113_modified_drep_counts	86777
DNA19_P19_M09_WK1_concoct.20_modified_drep_counts	86567
DNA19_P19_M09_WK1_concoct.35_modified_drep_counts	133541
DNA19_P19_M09_WK1_concoct.37_sub_modified_drep_counts	71306
DNA19_P19_M09_WK1_concoct.38_modified_drep_counts	440101
DNA19_P19_M09_WK1_concoct.41_modified_drep_counts	350005
DNA19_P19_M09_WK1_concoct.48_sub_modified_drep_counts	532059
DNA19_P19_M09_WK1_concoct.56_modified_drep_counts	367099
DNA19_P19_M09_WK1_concoct.57_modified_drep_counts	15961
DNA19_P19_M09_WK1_concoct.58_modified_drep_counts	133655
DNA19_P19_M09_WK1_concoct.60_modified_drep_counts	154623
DNA19_P19_M09_WK1_concoct.68_modified_drep_counts	441333
DNA19_P19_M09_WK1_concoct.69_modified_drep_counts	266865
DNA19_P19_M09_WK1_concoct.74_modified_drep_counts	78569
DNA19_P19_M09_WK1_concoct.77_sub_modified_drep_counts	40769
DNA19_P19_M09_WK1_concoct.78_modified_drep_counts	151294
DNA19_P19_M09_WK1_concoct.7_modified_drep_counts	289804
DNA19_P19_M09_WK1_concoct.82_sub_modified_drep_counts	97466
DNA19_P19_M09_WK1_concoct.83_modified_drep_counts	73505
DNA19_P19_M09_WK1_concoct.92_sub_modified_drep_counts	38159
DNA19_P19_M09_WK1_concoct.95_modified_drep_counts	332717
DNA19_P19_M09_WK1_maxbin.10_modified_drep_counts	11352
DNA19_P19_M09_WK1_maxbin.11_modified_drep_counts	94668
DNA19_P19_M09_WK1_maxbin.12_sub_modified_drep_counts	19734
DNA19_P19_M09_WK1_maxbin.15_sub_modified_drep_counts	228544
DNA19_P19_M09_WK1_maxbin.17_modified_drep_counts	66997
DNA19_P19_M09_WK1_maxbin.21_modified_drep_counts	13633
DNA19_P19_M09_WK1_maxbin.41_modified_drep_counts	1395711
DNA19_P19_M09_WK1_maxbin.54_modified_drep_counts	30713
DNA19_P19_M09_WK1_metabat2.12_modified_drep_counts	125191
DNA19_P19_M09_WK1_metabat2.16_sub_modified_drep_counts	135995
DNA19_P19_M09_WK1_metabat2.47_modified_drep_counts	48628
DNA19_P19_M09_WK1_metabat2.4_sub_modified_drep_counts	682969
DNA19_P19_M09_WK1_metabat2.65_modified_drep_counts	50427
DNA19_P19_M09_WK1_metabat2.80_modified_drep_counts	28382
DNA19_P19_M09_WK1_metabat2.91_modified_drep_counts	27350
DNA1_P43_M01_WK1_concoct.113_modified_drep_counts	245080
DNA1_P43_M01_WK1_concoct.20_modified_drep_counts	167795
DNA1_P43_M01_WK1_concoct.35_modified_drep_counts	468348
DNA1_P43_M01_WK1_concoct.37_sub_modified_drep_counts	185324
DNA1_P43_M01_WK1_concoct.38_modified_drep_counts	1088655
DNA1_P43_M01_WK1_concoct.41_modified_drep_counts	2247100
DNA1_P43_M01_WK1_concoct.48_sub_modified_drep_counts	105131
DNA1_P43_M01_WK1_concoct.56_modified_drep_counts	1456254
DNA1_P43_M01_WK1_concoct.57_modified_drep_counts	195696
DNA1_P43_M01_WK1_concoct.58_modified_drep_counts	486706
DNA1_P43_M01_WK1_concoct.60_modified_drep_counts	522763
DNA1_P43_M01_WK1_concoct.68_modified_drep_counts	465922
DNA1_P43_M01_WK1_concoct.69_modified_drep_counts	545138
DNA1_P43_M01_WK1_concoct.74_modified_drep_counts	397038
DNA1_P43_M01_WK1_concoct.77_sub_modified_drep_counts	214787
DNA1_P43_M01_WK1_concoct.78_modified_drep_counts	592332
DNA1_P43_M01_WK1_concoct.7_modified_drep_counts	760162
DNA1_P43_M01_WK1_concoct.82_sub_modified_drep_counts	84564
DNA1_P43_M01_WK1_concoct.83_modified_drep_counts	233110
